nodenumber     x-coordinate     y-coordinate      temperature      mach-number         pressure 
       219  2.095060795E-01  7.458649723E-04  1.968623620E+03  4.374934646E-01  2.685570319E+06 
       220  2.880199986E-01  7.473327599E-04  1.616103911E+03  1.689157548E+00  6.767244951E+05 
       221  2.078611619E-01  7.609485547E-04  1.970895803E+03  4.211108725E-01  2.707351618E+06 
       222  2.928799986E-01  7.693629774E-04  1.583008689E+03  1.778826357E+00  5.855505892E+05 
       223  2.062165869E-01  7.766075538E-04  1.973010230E+03  4.053071252E-01  2.727752433E+06 
       224  2.977399986E-01  7.913931948E-04  1.550258765E+03  1.866817500E+00  5.058535427E+05 
       225  2.045724911E-01  7.930266102E-04  1.974989965E+03  3.899606884E-01  2.747030796E+06 
       226  2.029287747E-01  8.100140313E-04  1.976847197E+03  3.750242287E-01  2.765263409E+06 
       227  3.025999986E-01  8.134234122E-04  1.518176097E+03  1.952603461E+00  4.369454475E+05 
       228  2.012854444E-01  8.275528331E-04  1.978530311E+03  3.609888349E-01  2.781748230E+06 
       229  3.074599986E-01  8.354536296E-04  1.487026568E+03  2.035753531E+00  3.778748492E+05 
       230  1.996425146E-01  8.456375259E-04  1.980028173E+03  3.480401459E-01  2.796857992E+06 
       231  3.123199987E-01  8.574838470E-04  1.457024497E+03  2.115914780E+00  3.275686202E+05 
       232  1.979999998E-01  8.642623754E-04  1.981528376E+03  3.344704169E-01  2.811401141E+06 
       233  3.171799987E-01  8.795140644E-04  1.428346561E+03  2.192774642E+00  2.849471707E+05 
       234  3.220399987E-01  9.015442818E-04  1.401155120E+03  2.266001366E+00  2.490032412E+05 
       235  3.268999987E-01  9.235744993E-04  1.375619616E+03  2.335190841E+00  2.188518308E+05 
       236  1.944615382E-01  9.246608025E-04  1.984385318E+03  3.072435639E-01  2.839513653E+06 
       237  3.317599987E-01  9.456047167E-04  1.351987419E+03  2.399674454E+00  1.937580519E+05 
       238  3.366199987E-01  9.676349341E-04  1.330485094E+03  2.458791927E+00  1.731416713E+05 
       239  1.909230766E-01  9.850592295E-04  1.986676270E+03  2.835798641E-01  2.863146549E+06 
       240  3.414799988E-01  9.896651515E-04  1.311557520E+03  2.511226572E+00  1.565161482E+05 
       241  3.463399988E-01  1.011695369E-03  1.295147096E+03  2.557036545E+00  1.437348003E+05 
       242  3.511999988E-01  1.033725586E-03  1.284533941E+03  2.586831378E+00  1.354267525E+05 
       243  1.873846150E-01  1.045457657E-03  1.988722257E+03  2.607927604E-01  2.883346519E+06 
       244  3.560599988E-01  1.055755804E-03  1.282120283E+03  2.593650908E+00  1.328597622E+05 
       245  3.609199988E-01  1.077786021E-03  1.286513837E+03  2.581322891E+00  1.358946974E+05 
       246  3.657799988E-01  1.099816239E-03  1.298035503E+03  2.549061867E+00  1.444894676E+05 
       247  1.838461534E-01  1.105856084E-03  1.990407048E+03  2.404173056E-01  2.900622946E+06 
       248  3.706399988E-01  1.121846456E-03  1.314812217E+03  2.502306233E+00  1.575110911E+05 
       249  3.754999989E-01  1.143876673E-03  1.328816312E+03  2.463455793E+00  1.696795134E+05 
       250  2.457462216E-01  1.165240790E-03  1.865968420E+03  9.288591347E-01  1.845635204E+06 
       251  2.440952922E-01  1.165520035E-03  1.873108844E+03  9.020516470E-01  1.895623009E+06 
       252  3.803599989E-01  1.165906891E-03  1.334052450E+03  2.448970193E+00  1.753091750E+05 
       253  1.803076918E-01  1.166254511E-03  1.991836072E+03  2.217164806E-01  2.915187218E+06 
       254  2.473971339E-01  1.166749092E-03  1.858530567E+03  9.561947066E-01  1.794429397E+06 
       255  2.424443851E-01  1.167131855E-03  1.879978635E+03  8.756849688E-01  1.944915592E+06 
       256  2.490479977E-01  1.169615021E-03  1.850483356E+03  9.851415093E-01  1.741277753E+06 
       257  2.407935295E-01  1.170069664E-03  1.886622756E+03  8.495976933E-01  1.993560550E+06 
       258  2.506987835E-01  1.173815998E-03  1.841903247E+03  1.015377911E+00  1.683872071E+06 
       259  2.391427545E-01  1.174326869E-03  1.893036008E+03  8.238154308E-01  2.041513437E+06 
       260  2.523494608E-01  1.179356958E-03  1.831472359E+03  1.051263584E+00  1.621435259E+06 
       261  2.374921098E-01  1.180116171E-03  1.899218129E+03  7.983474497E-01  2.088661596E+06 
       262  2.539999985E-01  1.186242476E-03  1.821770198E+03  1.083996251E+00  1.566104355E+06 
       263  2.358416155E-01  1.187277533E-03  1.905163521E+03  7.732274960E-01  2.134884905E+06 
       264  3.852199989E-01  1.187937108E-03  1.332501201E+03  2.453224451E+00  1.741572094E+05 
       265  2.341913334E-01  1.196013340E-03  1.910867292E+03  7.484910032E-01  2.180047545E+06 
       266  2.325412738E-01  1.206137659E-03  1.916325285E+03  7.241748198E-01  2.224028733E+06 
       267  3.900799989E-01  1.209967326E-03  1.326571897E+03  2.469582767E+00  1.688435617E+05 
       268  2.308914693E-01  1.217645695E-03  1.921536472E+03  7.003064771E-01  2.266729911E+06 
       269  1.767692302E-01  1.226652938E-03  1.993031988E+03  2.047757766E-01  2.927491391E+06 
       270  2.588599985E-01  1.230302911E-03  1.798958063E+03  1.158288247E+00  1.430288525E+06 
       271  2.292419524E-01  1.230531749E-03  1.926501952E+03  6.769075554E-01  2.308070467E+06 
       272  3.949399989E-01  1.231997543E-03  1.317307808E+03  2.495232141E+00  1.607352715E+05 
       273  2.275927554E-01  1.244789217E-03  1.931224130E+03  6.539967085E-01  2.347983833E+06 
       274  3.997999989E-01  1.254027760E-03  1.306354617E+03  2.525688546E+00  1.515521041E+05 
       275  2.259439105E-01  1.260410607E-03  1.935706550E+03  6.315898696E-01  2.386417410E+06 
       276  2.637199985E-01  1.274363346E-03  1.772836237E+03  1.240302653E+00  1.291984714E+06 
